epoch,train_loss,val_loss,train_acc,val_acc
Test acc and loss:,90.42,0.32608669996261597,,
0,1.5860479257323525,1.3494348287582398,40.55111111111111,51.96
1,1.0765840773555366,1.1459847688674927,61.08,57.46
2,0.8858611194247549,1.022350510954857,68.28444444444445,63.64
3,0.7504582906311209,0.8713243871927261,73.61555555555556,69.48
4,0.6528274134140123,0.9042897760868073,77.24666666666667,68.34
5,0.5863164121454413,0.6984954297542572,79.69777777777777,75.2
6,0.5235371081666513,0.6994695961475372,82.06888888888889,76.04
7,0.4850300790911371,0.6314882546663284,83.35555555555555,78.36
8,0.4551721216941422,0.545092462003231,84.45111111111112,81.46
9,0.419869249347936,0.6288147792220116,85.4888888888889,79.98
10,0.3978684944185344,0.4989556908607483,86.27555555555556,83.42
11,0.3712542236528613,0.5476466283202172,87.27333333333333,81.92
12,0.34919848208400334,0.7254364877939224,87.96222222222222,77.26
13,0.3396892487494783,0.6095138639211655,88.27111111111111,80.04
14,0.31829771314832295,0.5648107573390007,89.08,81.14
15,0.21129385771399195,0.322644729167223,92.90222222222222,89.18
16,0.17694140847941692,0.3250349789857864,94.04222222222222,89.5
17,0.16521060301668264,0.31554420441389086,94.43777777777778,90.0
18,0.15248037840832362,0.3215337283909321,94.83555555555556,89.66
19,0.1442272442139008,0.31741667836904525,95.27111111111111,89.8
20,0.13604662859473715,0.3387809984385967,95.36888888888889,89.42
21,0.12951043993234634,0.32878099381923676,95.62222222222222,89.92
22,0.1136898965024474,0.31807530075311663,96.16,90.42
23,0.10774012508971448,0.31972472220659254,96.34666666666666,90.42
24,0.10627910046076233,0.3159270979464054,96.52666666666667,90.12
25,0.10778793565590274,0.3174791865050793,96.43111111111111,90.36
26,0.10327897470613773,0.31984725072979925,96.54,90.38
27,0.10131252201443369,0.31914723515510557,96.60666666666667,90.54
