epoch,train_loss,val_loss,train_acc,val_acc
Best model test acc and loss at epoch 59:,93.25,0,,
Last model test acc and loss at epoch 60:,93.25,0,,
0,2.195527283982797,1.806128990650177,22.226666666666667,36.96
1,1.7443696341731332,1.4650195240974426,44.96,51.36
2,1.1970003314993598,0.7234967112541199,70.2088888888889,76.8
3,0.9345318837599321,0.6371156096458435,81.97333333333333,80.12
4,0.8237623938105323,0.5609761893749237,86.66666666666667,83.12
5,0.762521890076724,0.5147094547748565,89.22666666666667,84.44
6,0.7326261658560146,0.5142295092344285,90.68888888888888,85.72
7,0.6907480514862321,0.45289059579372404,92.42666666666666,86.84
8,0.6533992812037468,0.44765923023223875,94.08888888888889,87.16
9,0.6308778734369711,0.41352681517601014,94.91555555555556,88.4
10,0.6120753565972502,0.42682276368141175,95.64444444444445,88.16
11,0.6064184700900858,0.42451083064079287,95.91555555555556,88.52
12,0.587500311434269,0.4120344489812851,96.84444444444445,88.92
13,0.5759689340537245,0.4444062918424606,97.1511111111111,88.12
14,0.569068165665323,0.4021215498447418,97.45777777777778,89.28
15,0.5645779818296432,0.3638309597969055,97.70666666666666,90.12
16,0.5658648081801154,0.41226312816143035,97.64,89.0
17,0.5580557862466032,0.41652085483074186,97.89333333333333,88.52
18,0.5555899265137586,0.4072748064994812,97.96888888888888,88.72
19,0.552280833775347,0.3886579543352127,98.13777777777777,89.84
20,0.5467729060487314,0.3962415784597397,98.39555555555556,89.12
21,0.5430673875591971,0.39679629504680636,98.51555555555555,89.08
22,0.5458639833060178,0.37471564412117003,98.36888888888889,90.68
23,0.5427640364928679,0.3967942178249359,98.47111111111111,89.04
24,0.5410184264183044,0.40034395456314087,98.60444444444444,89.6
25,0.5374053825031627,0.4049339085817337,98.68444444444444,89.8
26,0.5392045514150099,0.3578405290842056,98.61777777777777,90.44
27,0.5362646661021493,0.37098516523838043,98.69777777777777,90.32
28,0.5315515913746574,0.3455500990152359,98.96888888888888,91.72
29,0.5299551608887586,0.3608710378408432,98.96888888888888,91.2
30,0.5316701660102064,0.36586244106292726,98.90222222222222,90.36
31,0.5292162278836424,0.34481610357761383,99.02222222222223,91.52
32,0.5240877582268282,0.3702123910188675,99.2311111111111,90.68
33,0.5278759199109945,0.34368540197610853,99.07555555555555,91.44
34,0.522359505973079,0.39037005305290223,99.28888888888889,89.84
35,0.5208994671702385,0.36739168167114256,99.33777777777777,91.04
36,0.5216003182259473,0.37719449400901794,99.31555555555556,91.0
37,0.5257254087112166,0.3632718324661255,99.06666666666666,90.36
38,0.5246052640405569,0.39683177769184114,99.11555555555556,89.44
39,0.5201601054180752,0.35484235286712645,99.35111111111111,91.44
40,0.5136329694227739,0.3277212679386139,99.65777777777778,92.36
41,0.5167943239212036,0.3634687513113022,99.47555555555556,91.08
42,0.5153035392815416,0.36054876297712324,99.54222222222222,91.32
43,0.5161813795566559,0.350340536236763,99.44444444444444,91.72
44,0.5139749233018268,0.3550659030675888,99.57333333333334,91.64
45,0.514272496781566,0.357369139790535,99.57333333333334,91.12
46,0.5115815462036566,0.33974503725767136,99.65777777777778,91.6
47,0.5097738348624923,0.348737832903862,99.72444444444444,91.68
48,0.5110751126300205,0.3551468849182129,99.67555555555556,91.04
49,0.5106514963236722,0.3359509497880936,99.66666666666667,91.92
50,0.5106128569353711,0.35793665051460266,99.68888888888888,91.72
51,0.5088096504861658,0.34181263446807864,99.76444444444445,91.4
52,0.5072396485642954,0.3632991313934326,99.82666666666667,90.96
53,0.5083591389385137,0.3401860535144806,99.77333333333333,91.8
54,0.5078319683670998,0.3290945291519165,99.7688888888889,92.56
55,0.5049100809476592,0.3431669682264328,99.91111111111111,92.12
56,0.5059313476085663,0.3404425948858261,99.86222222222223,92.04
57,0.5042849027297713,0.3363966464996338,99.91555555555556,92.48
58,0.5056020549752496,0.337549677491188,99.84444444444445,92.12
59,0.5036174770105969,0.3269420757889748,99.92888888888889,92.32
60,0.5033405301245776,0.3344828873872757,99.94666666666667,91.84
